chr	tss	symbol	PromoterActivityQuantile	Expression	isExpressed
chr1	120931	ENSG00000238009:U.N.N	14.16619398752127	1	True
chr1	149706	ENSG00000241860:N.N.N	3.864152013613159	1	True
chr1	195410	ENSG00000279457:N.N.N	13.49262620533182	1	True
chr1	359680	ENSG00000228463:N.N.N	38.14520703346568	1	True
chr1	522927	ENSG00000237094:N.N.N	18.05161656267725	1	True
chr1	629061	ENSG00000225972:N.N.N	97.46880317640385	1	True
chr1	629639	ENSG00000225630:N.N.N	98.25581395348837	1	True
chr1	631073	ENSG00000237973:N.N.N	95.98695405558706	1	True
chr1	632756	ENSG00000229344:N.N.N	84.74900737379467	1	True
chr1	633695	ENSG00000248527:N.N.N	99.29807146908678	1	True
chr1	634375	ENSG00000198744:D.N.N	97.81622234826999	1	True
chr1	778625	ENSG00000228327:N.N.N	18.73936471922859	1	True
chr1	803933	ENSG00000237491:N.N.N	16.48468519568917	1	True
chr1	827603	ENSG00000228794:N.N.N	59.02580828133863	1	True
chr1	919691	ENSG00000223764:D.U.D	0.6664775950085082	1	True
chr1	925730	ENSG00000187634:D.U.D	0.1205331820760068	1	True
chr1	959255	ENSG00000188976:N.N.N	12.3298355076574	1	True
chr1	960583	ENSG00000187961:N.N.N	3.736528644356211	1	True
chr1	1000171	ENSG00000188290:U.N.N	8.189166193987521	1	True
chr1	1013496	ENSG00000187608:U.N.N	0.2906976744186047	1	True
chr1	1020119	ENSG00000188157:N.N.N	1.403857061826432	1	True
chr1	1063078	ENSG00000217801:U.D.N	76.3116846284742	1	True
chr1	1116080	ENSG00000131591:N.N.N	0.8791832104367555	1	True
chr1	1228792	ENSG00000078808:N.N.N	4.651162790697675	1	True
chr1	1232236	ENSG00000176022:N.N.N	45.08650028360749	1	True
chr1	1273832	ENSG00000160087:N.N.N	18.47702779353375	1	True
chr1	1307929	ENSG00000131584:N.N.N	2.828984685195689	1	True
chr1	1308596	ENSG00000169972:N.N.N	5.055303460011344	1	True
chr1	1324686	ENSG00000127054:N.N.N	9.507941009642655	1	True
chr1	1324801	ENSG00000224051:N.N.N	4.154849688031764	1	True
chr1	1349417	ENSG00000107404:U.N.N	1.531480431083381	1	True
chr1	1358542	ENSG00000162576:N.D.N	33.30969937606353	1	True
chr1	1375156	ENSG00000175756:N.N.N	5.346001134429949	1	True
chr1	1399334	ENSG00000221978:N.N.N	19.18604651162791	1	True
chr1	1399571	ENSG00000224870:N.N.N	23.71667612024957	1	True
chr1	1407292	ENSG00000242485:N.N.N	68.01616562677255	1	True
chr1	1409095	ENSG00000272455:N.N.N	20.3275666477595	1	True
chr1	1435689	ENSG00000179403:N.N.N	2.219228587634714	1	True
chr1	1471768	ENSG00000160072:N.N.N	3.226035167328417	1	True
chr1	1512174	ENSG00000197785:N.N.N	1.758366420873511	1	True
chr1	1574862	ENSG00000160075:N.N.N	58.38769143505389	1	True
chr1	1600134	ENSG00000228594:N.N.N	4.339194554736245	1	True
chr1	1615442	ENSG00000197530:N.N.N	0.09926262053318208	1	True
chr1	1615794	ENSG00000272106:N.N.N	53.21185479296653	1	True
chr1	1659011	ENSG00000248333:N.N.N	56.82785025524674	1	True
chr1	1692643	ENSG00000189339:N.N.N	31.14719228587635	1	True
chr1	1724323	ENSG00000008128:N.N.N	16.55558706749858	1	True
chr1	1745998	ENSG00000215790:N.N.N	17.33550765740215	1	True
chr1	1780068	ENSG00000008130:N.N.N	14.03148043108338	1	True
chr1	1891086	ENSG00000078369:N.N.N	73.63159387407828	1	True
chr1	1919278	ENSG00000178821:N.N.N	4.736245036868973	1	True
chr1	2050410	ENSG00000067606:N.N.N	12.35819625638117	1	True
chr1	2194774	ENSG00000162585:N.N.N	6.707317073170731	1	True
chr1	2228318	ENSG00000157933:N.N.N	15.41406693136699	1	True
chr1	2391553	ENSG00000116151:N.N.D	13.98184912081679	1	True
chr1	2391840	ENSG00000157916:N.N.N	48.85138967668747	1	True
chr1	2412529	ENSG00000157911:N.N.N	23.14946114577425	1	True
chr1	2526610	ENSG00000157881:N.N.N	12.84741917186614	1	True
chr1	2586749	ENSG00000157870:D.N.D	10.13896766874645	1	True
chr1	3062394	ENSG00000177133:D.N.N	0.6806579693703914	1	True
chr1	3069202	ENSG00000142611:N.N.N	6.544242768009076	1	True
chr1	3454664	ENSG00000130762:N.N.N	4.89931934203063	1	True
chr1	3625014	ENSG00000158109:N.N.D	28.75070901871809	1	True
chr1	3650102	ENSG00000116213:N.N.N	11.84770277935337	1	True
chr1	3747372	ENSG00000227372:N.N.N	38.51389676687464	1	True
chr1	3796497	ENSG00000130764:N.N.N	24.87237663074305	1	True
chr1	3857210	ENSG00000116198:N.N.N	47.33408961996597	1	True
chr1	3857266	ENSG00000169598:N.N.N	31.68604651162791	1	True
chr1	3900271	ENSG00000198912:N.N.N	41.2010777084515	1	True
chr1	3900403	ENSG00000236423:N.U.N	16.26488939307998	1	True
chr1	5992424	ENSG00000131697:N.N.N	8.08990357345434	1	True
chr1	6045920	ENSG00000069424:N.N.D	4.750425411230856	1	True
chr1	6199594	ENSG00000116251:N.N.N	71.32728304027226	1	True
chr1	6206118	ENSG00000158286:N.N.N	3.559273964832672	1	True
chr1	6234691	ENSG00000225077:N.U.N	86.71298922291548	1	True
chr1	6235963	ENSG00000116237:N.N.D	79.76460578559274	1	True
chr1	6261097	ENSG00000158292:D.N.N	7.962280204197391	1	True
chr1	6385812	ENSG00000097021:N.N.D	15.59132161089053	1	True
chr1	6424775	ENSG00000187017:N.N.N	0.4041406693136699	1	True
chr1	6497095	ENSG00000171680:N.N.N	1.907260351673284	1	True
chr1	6554512	ENSG00000162408:N.N.N	76.43930799773113	1	True
chr1	6579993	ENSG00000204859:N.N.N	9.472490073737946	1	True
chr1	6602868	ENSG00000162413:N.N.N	19.51928530913216	1	True
chr1	6613730	ENSG00000116273:N.N.N	51.07061826432218	1	True
chr1	6624865	ENSG00000041988:N.N.N	8.203346568349405	1	True
