chr	start	end	id	length	strand	CPM_atac_0	CPM_h3k27ac_0
chr22	16192759	16193259	0	500	+	0.0	0.0
chr22	16197565	16198065	1	500	+	12.809444146980686	0.0
chr22	16204925	16205425	2	500	+	7.685666488188412	0.0
chr22	16231039	16231539	3	500	+	2.561888829396137	0.0
chr22	16263325	16263825	4	500	+	23.056999464565237	0.0
chr22	16287687	16288187	5	500	+	0.0	0.0
chr22	16449554	16450054	6	500	+	0.0	0.0
chr22	16928205	16928705	7	500	+	23.056999464565237	9.140475396125353
chr22	17030525	17031025	8	500	+	28.180777123357508	4.570237698062677
chr22	17038205	17038705	9	500	+	35.86644361154592	13.710713094188028
chr22	17049445	17049945	10	500	+	30.742665952753647	27.421426188376056
chr22	17067005	17067605	11	600	+	169.08466274014506	4.570237698062677
chr22	17067825	17068345	12	520	+	35.86644361154592	31.991663886438737
chr22	17068605	17069105	13	500	+	25.618888293961373	0.0
chr22	17073450	17073950	14	500	+	20.495110635169095	18.280950792250707
chr22	17080325	17081105	15	780	+	320.23610367451715	73.12380316900283
chr22	17081265	17081885	16	620	+	140.90388561678753	210.23093411088308
chr22	17081945	17083145	17	1200	+	801.8712036009908	374.7594912411395
chr22	17083825	17085245	18	1420	+	381.72143558002443	740.3785070861535
chr22	17085385	17086045	19	660	+	94.78988668765707	86.83451626319085
chr22	17086065	17086725	20	660	+	146.0276632755798	4.570237698062677
chr22	17096625	17097465	21	840	+	64.04722073490342	9.140475396125353
chr22	17098345	17098845	22	500	+	48.675887758526606	0.0
chr22	17105285	17105825	23	540	+	81.98044254067638	9.140475396125353
chr22	17132565	17133065	24	500	+	17.93322180577296	4.570237698062677
chr22	17134965	17135465	25	500	+	74.29477605248798	22.85118849031338
chr22	17136305	17136805	26	500	+	25.618888293961373	4.570237698062677
chr22	17137225	17137725	27	500	+	40.99022127033819	9.140475396125353
chr22	17138805	17139305	28	500	+	48.675887758526606	0.0
chr22	17156180	17156680	29	500	+	7.685666488188412	9.140475396125353
chr22	17198765	17199325	30	560	+	64.04722073490342	13.710713094188028
chr22	17217485	17217985	31	500	+	20.495110635169095	0.0
chr22	17228285	17228805	32	520	+	48.675887758526606	0.0
chr22	17229078	17229578	33	500	+	7.685666488188412	4.570237698062677
chr22	17239545	17240045	34	500	+	38.42833244094206	4.570237698062677
chr22	17255425	17256405	35	980	+	335.607436650894	50.27261467868944
chr22	17256825	17257325	36	500	+	51.237776587922745	0.0
chr22	17262245	17262765	37	520	+	158.8371074225605	100.54522935737889
chr22	17264625	17265145	38	520	+	115.28499732282617	41.13213928256408
chr22	17276325	17276825	39	500	+	46.113998929130474	41.13213928256408
chr22	17289265	17289765	40	500	+	35.86644361154592	18.280950792250707
chr22	17296345	17296845	41	500	+	46.113998929130474	0.0
chr22	17302339	17302839	42	500	+	5.123777658792274	0.0
chr22	17306045	17306645	43	600	+	66.60910956429957	68.55356547094014
chr22	17308113	17308613	44	500	+	0.0	4.570237698062677
chr22	17372825	17373325	45	500	+	30.742665952753647	0.0
chr22	17398225	17398745	46	520	+	125.53255264041073	13.710713094188028
chr22	17403065	17403565	47	500	+	33.304554782149786	9.140475396125353
chr22	17488862	17489362	48	500	+	7.685666488188412	0.0
chr22	17505185	17505685	49	500	+	20.495110635169095	0.0
chr22	17514965	17515465	50	500	+	7.685666488188412	9.140475396125353
chr22	17517209	17517709	51	500	+	5.123777658792274	0.0
chr22	17518105	17519005	52	900	+	53.79966541731888	45.70237698062676
chr22	17519145	17519645	53	500	+	43.552110099734335	13.710713094188028
chr22	17538985	17539505	54	520	+	35.86644361154592	4.570237698062677
chr22	17544525	17545025	55	500	+	25.618888293961373	13.710713094188028
chr22	17548965	17549465	56	500	+	30.742665952753647	4.570237698062677
chr22	17555705	17556225	57	520	+	51.237776587922745	0.0
chr22	17565485	17566098	58	613	+	440.64487865613563	173.6690325263817
chr22	17568545	17569065	59	520	+	105.03744200524163	22.85118849031338
chr22	17579325	17579825	60	500	+	122.97066381101459	13.710713094188028
chr22	17583125	17583645	61	520	+	107.59933083463775	31.991663886438737
chr22	17601145	17601645	62	500	+	23.056999464565237	4.570237698062677
chr22	17602007	17602734	63	727	+	15.371332976376824	0.0
chr22	17636745	17637265	64	520	+	243.37943879263304	0.0
chr22	17639305	17640528	65	1223	+	215.1986616692755	114.25594245156691
chr22	17645927	17646427	66	500	+	15.371332976376824	13.710713094188028
chr22	17651945	17652465	67	520	+	228.0081058162562	73.12380316900283
chr22	17652565	17653365	68	800	+	240.8175499632369	100.54522935737889
chr22	17671985	17672545	69	560	+	30.742665952753647	0.0
chr22	17679445	17680025	70	580	+	43.552110099734335	18.280950792250707
chr22	17682045	17682585	71	540	+	115.28499732282617	4.570237698062677
chr22	17684165	17684805	72	640	+	38.42833244094206	9.140475396125353
chr22	17694805	17695365	73	560	+	69.17099839369571	4.570237698062677
chr22	17700225	17700725	74	500	+	10.247555317584547	13.710713094188028
chr22	17724245	17724765	75	520	+	64.04722073490342	4.570237698062677
chr22	17738925	17739525	76	600	+	148.58955210497595	4.570237698062677
chr22	17741705	17742285	77	580	+	61.485331905507294	22.85118849031338
chr22	17747373	17747873	78	500	+	5.123777658792274	9.140475396125353
chr22	17749305	17749965	79	660	+	71.73288722309184	4.570237698062677
chr22	17756265	17756825	80	560	+	81.98044254067638	4.570237698062677
chr22	17788365	17788865	81	500	+	43.552110099734335	18.280950792250707
chr22	17796145	17796865	82	720	+	58.923443076111155	36.56190158450141
chr22	17800385	17800905	83	520	+	33.304554782149786	13.710713094188028
chr22	17819905	17820405	84	500	+	51.237776587922745	18.280950792250707
chr22	17827845	17828385	85	540	+	156.27521859316437	13.710713094188028
chr22	17839365	17839865	86	500	+	43.552110099734335	18.280950792250707
chr22	17840325	17841088	87	763	+	637.9103185196382	36.56190158450141
chr22	17847245	17848245	88	1000	+	207.51299518108712	36.56190158450141
chr22	17848445	17848965	89	520	+	79.41855371128025	18.280950792250707
chr22	17849445	17850005	90	560	+	215.1986616692755	13.710713094188028
chr22	17851345	17851905	91	560	+	58.923443076111155	9.140475396125353
chr22	17854005	17854505	92	500	+	10.247555317584547	13.710713094188028
chr22	17856805	17857385	93	580	+	48.675887758526606	0.0
chr22	17859165	17860085	94	920	+	443.20676748553177	27.421426188376056
chr22	17864765	17865285	95	520	+	79.41855371128025	9.140475396125353
chr22	17869945	17870445	96	500	+	2.561888829396137	9.140475396125353
chr22	17890245	17890765	97	520	+	33.304554782149786	13.710713094188028
chr22	17891925	17892465	98	540	+	61.485331905507294	13.710713094188028
chr22	17893105	17893605	99	500	+	10.247555317584547	0.0
chr22	17900665	17901385	100	720	+	120.40877498161845	9.140475396125353
chr22	17902025	17902525	101	500	+	128.09444146980684	13.710713094188028
chr22	17909505	17910005	102	500	+	33.304554782149786	13.710713094188028
chr22	17910165	17910665	103	500	+	23.056999464565237	9.140475396125353
chr22	17912545	17913065	104	520	+	69.17099839369571	13.710713094188028
chr22	17915625	17916605	105	980	+	417.5878791915704	31.991663886438737
chr22	17917145	17917645	106	500	+	23.056999464565237	0.0
chr22	17921725	17922325	107	600	+	69.17099839369571	9.140475396125353
chr22	17922505	17923005	108	500	+	276.68399357478285	13.710713094188028
chr22	17928665	17929225	109	560	+	58.923443076111155	9.140475396125353
chr22	17936705	17937205	110	500	+	43.552110099734335	4.570237698062677
chr22	17938865	17939365	111	500	+	48.675887758526606	0.0
chr22	17945845	17946425	112	580	+	43.552110099734335	9.140475396125353
chr22	17948345	17948845	113	500	+	23.056999464565237	9.140475396125353
chr22	17949285	17949785	114	500	+	10.247555317584547	4.570237698062677
chr22	17950805	17951345	115	540	+	43.552110099734335	4.570237698062677
chr22	17955845	17956345	116	500	+	66.60910956429957	9.140475396125353
chr22	17956365	17956925	117	560	+	107.59933083463775	13.710713094188028
chr22	17965205	17965785	118	580	+	40.99022127033819	13.710713094188028
chr22	17980625	17981145	119	520	+	146.0276632755798	13.710713094188028
chr22	18009205	18009705	120	500	+	38.42833244094206	4.570237698062677
chr22	18038045	18038565	121	520	+	33.304554782149786	22.85118849031338
chr22	18042105	18043388	122	1283	+	312.55043718632874	36.56190158450141
chr22	18049605	18050105	123	500	+	30.742665952753647	22.85118849031338
chr22	18051085	18051645	124	560	+	51.237776587922745	54.84285237675211
chr22	18056505	18057025	125	520	+	48.675887758526606	41.13213928256408
chr22	18060845	18061345	126	500	+	28.180777123357508	18.280950792250707
chr22	18062905	18063405	127	500	+	166.52277391074892	22.85118849031338
chr22	18071708	18072208	128	500	+	10.247555317584547	0.0
chr22	18106345	18106845	129	500	+	53.79966541731888	9.140475396125353
chr22	18111338	18112145	130	807	+	1242.5160822571265	1448.7653502858684
chr22	18114005	18114505	131	500	+	33.304554782149786	27.421426188376056
chr22	18114565	18115385	132	820	+	56.361554246715016	105.11546705544154
chr22	18115825	18116325	133	500	+	640.4722073490343	626.1225646345866
chr22	18116485	18116985	134	500	+	107.59933083463775	415.89163052370355
chr22	18117445	18117985	135	540	+	58.923443076111155	54.84285237675211
chr22	18120105	18120765	136	660	+	84.54233137007253	361.0487781469514
chr22	18121099	18121705	137	606	+	653.281651496015	1663.5665220948142
chr22	18122085	18122785	138	700	+	156.27521859316437	1115.137998327293
chr22	18155285	18156285	139	1000	+	386.8452132388167	319.9166388643873
chr22	18156585	18157145	140	560	+	81.98044254067638	77.6940408670655
chr22	18189225	18189765	141	540	+	69.17099839369571	54.84285237675211
chr22	18195185	18195725	142	540	+	61.485331905507294	27.421426188376056
chr22	18204765	18205265	143	500	+	51.237776587922745	22.85118849031338
chr22	18207525	18208045	144	520	+	69.17099839369571	59.41309007481479
chr22	18213205	18213805	145	600	+	56.361554246715016	18.280950792250707
chr22	18225125	18225625	146	500	+	133.21821912859915	36.56190158450141
chr22	18255925	18256445	147	520	+	128.09444146980684	50.27261467868944
chr22	18256485	18256985	148	500	+	56.361554246715016	59.41309007481479
chr22	18257011	18257605	149	594	+	43.552110099734335	63.98332777287747
